2023-02-20 18:28:02.845498 | admin | 192.168.1.11 | (SELECT * FROM pacjenci)
2023-02-20 18:28:57.483449 | adam | 192.168.1.11 | (SELECT * FROM pacjenci)
2023-02-20 18:29:00.107538 | adam | 192.168.1.11 | (SELECT numer_pokoju FROM pokoje WHERE liczba_wolnych_lozek > 0)
2023-02-20 18:29:00.108951 | adam | 192.168.1.11 | (SELECT id_l, imie, nazwisko FROM lekarz)
2023-02-20 18:29:08.075896 | adam | 192.168.1.11 | (SELECT * FROM pacjenci)
2023-02-20 18:29:10.354552 | adam | 192.168.1.11 | (SELECT * FROM lekarz)
2023-02-20 18:29:12.825342 | adam | 192.168.1.11 | (SELECT * FROM pokoje)
2023-02-20 18:29:18.385179 | adam | 192.168.1.11 | (SELECT * FROM choroba)
2023-02-20 18:29:23.535062 | adam | 192.168.1.11 | (SELECT * FROM leki)
2023-02-20 18:29:25.992385 | adam | 192.168.1.11 | (SELECT * FROM leki_magazyn)
2023-02-20 18:29:27.909672 | adam | 192.168.1.11 | (SELECT * FROM leki_magazyn)
2023-02-20 18:29:29.667621 | adam | 192.168.1.11 | (SELECT * FROM zabiegoperacja)
2023-02-20 18:29:32.086060 | adam | 192.168.1.11 | (SELECT * FROM zabiegoperacja)
2023-02-20 18:29:33.987665 | adam | 192.168.1.11 | (SELECT * FROM recepty)
2023-02-20 18:29:35.757478 | adam | 192.168.1.11 | (SELECT * FROM wypis)
2023-02-20 18:29:38.622579 | adam | 192.168.1.11 | (SELECT * FROM pacjenci)
